KOODIARVO;NIMI_FI;NIMI_SV;NIMILYHENNE_FI;NIMILYHENNE_SV;ALKUPVM;LOPPUPVM
591;Sähkökäytön koulutusohjelma, pk (Merenkulkualan perustutkinto);Utbildningsprogrammet för eldrift, gr (Grundexamen i sjöfart);Sähkökäytön koulutusohjelma, pk;Up för eldrift, gr;01.01.1990;
411;Taidekehystys, pk (Käsi- ja taideteollisuusalan perustutkinto);Konstinramning, gr (Grundexamen inom hantverk och konstindustri);Taidekehystys, pk;Konstinramning, gr;01.09.2008;
986;Talonrakennus ja ympäristösuunnittelu, pk;Husbyggnad och miljöplanering, gr;Talonrakennus ja ympäristösuunnittelu,pk;Husbyggnad och miljöplanering, gr;01.01.2011;
858;Talotekniikan perustutkinto, pk;Grundexamen inom husteknik, gr;Talotekniikan perustutkinto, pk;Grex inom husteknik, gr;01.01.1990;
035;Tanssialan perustutkinto, pk;Grundexamen i dans, gr;Tanssialan pt, pk;Grundexamen i dans, gr;01.01.2012;
525;Tarpeistonvalmistus, pk (Käsi- ja taideteollisuusalan perustutkinto);Rekvisitatillverkning, gr (Grundexamen inom hantverk och konstindustri);Tarpeistonvalmistus, pk;Rekvisitatillverkning, gr;01.01.1990;
277;Teatteri- ja esitystekniikka, pk (Audiovisuaalisen viestinnän perustutkinto);Teater- och scenteknik, gr (Grundexamen i audiovisuell kommunikation);Teatteri- ja esitystekniikka, pk;Teater och scenteknik, gr;18.08.2008;
414;Tekniikan koulutus, pk;Teknisk utbildning, gr;Tekniikan koulutus, pk;Teknisk utbildning, gr;01.01.2009;
014;Tekstiili- ja vaatemuotoilu, pk (Käsi-ja taideteollisuusalan perustutkinto);Textil- och beklädnadsdesign, gr (Grundexamen inom hantverk och konstindustri);Tekstiili- ja vaatemuotoilu, pk;Textil- och beklädnadsdesign, gr;01.01.2013;
022;Tekstiili- ja vaatetus sekä liiketalous, pk;Textil- och beklädnad samt företagsekonomi, gr;Tekst. ja vaatet. sekä liiketalous, pk;Textil- och beklädnad samt företags., gr;01.01.2011;
185;Tekstiili- ja vaatetusala, pk  (Käsi- ja taideteollisuusalan perustutkinto);Textil- och beklädnadsbranschen, gr (Grundexamen inom hantverk och konstindustri);Tekstiili- ja vaatetusala, pk;Textil- och beklädnadsbranschen, gr;01.01.2012;
183;Tekstiili- ja vaatetusalan perustutkinto, pk;Grundexamen inom textil- och beklädnadsbranschen, gr;Tekstiili- ja vaatetusalan pt, pk;Grex inom textil- o. beklädnadsbran., gr;03.07.2008;
538;Tekstiiliala, pk (Käsi- ja taideteollisuusalan perustutkinto);Textil, gr (Grundexamen inom hantverk och konstindustri);Tekstiiliala, pk (tuotteen suun- ja valm;Textil, gr;01.01.1990;
443;Tekstiilihuollon koulutusohjelma, pk (Tekstiili- ja vaatetusalan perustutkinto);Utbildningsprogrammet för textilvård, gr (Grundexamen inom textil- och beklädnadsbranschen);Tekstiilihuollon ko, pk;Up för textilvård, gr;04.09.2008;
049;Tekstiilimuotoilu- ja sisustusala, pk (Käsi- ja taideteollisuusalan perustutkinto);Textil formgivning och inredning, gr (Grundexamen inom hantverk och konstindustri);Tekstiilimuotoilu- ja sisustusala, pk;Textil formgivning och inredning, gr;01.01.2013;
